タイムスタンプ,発表済か(0は発表未、1は発表済),パロディ元募集の規約に同意してください。,"名前(ネットでの使用名)を記入してください。
※名前を騙る行為は大変迷惑ですので、おやめください。",Twitter(X)のID(なければメールアドレス)を入力してください。(ここの記載を間違えると連絡ができません！),ボカロPですか？作詞家ですか？絵師ですか？動画師ですか？（複数選択可、メインでなくとも作ったことがあれば選択してください）,"あなたの曲(あなたが担当した曲)のうち、パロディを禁止する曲があれば列挙してください。
※逆に「○○」「○○」以外は禁止という書き方も可能です。","あなたの曲(あなたが担当した曲)のうち、パロディが含まれている曲があれば列挙してください。(替え歌や、いわゆる界隈曲など)
※そのパロディ元にごめんなさい投稿祭が許可を取っていない場合(もしくはパロディ元がボカロ曲(広義)でない場合)は、その曲のうち、そのパロディを含む部分はパロディができません(パロディを行う場合は自己責任となります)。",ニコニコ動画以外にも投稿を許可しますか？,"クレジットについて、オプションを1つ選んでください。
※1つ前の質問で「許可しない」を選んだ方は「*」が先頭に付いている選択肢から選んでください。「許可する」を選んだ方はどれを選んでいただいても良いです。","収益化(ニコニコ動画のクリエイター奨励プログラムとYouTubeの収益化プログラムのみ)を許可しますか？
※その他の収益化の許可はごめんなさい投稿祭としては致しません。
※2つ前の質問で「許可しない」を選んだ方は「許可する」または「許可しない」を選んでください。","この応募の後(2024年8月20日まで)に投稿された楽曲も、パロディ元の対象としますか？
※別途ご連絡があれば、特定の楽曲を対象としたりしなかったりすることができます。","「ごめんなさい投稿祭2」に準ずるものが開催されることとなったとき、このフォーム入力を省略できるようにしますか？
※自動更新となります。当然その際には連絡を入れ、その時にやめることもできます。","ごめんなさい投稿祭運営が公式HPやTwitter(X)で、あなたのアイコン(Twitter(X)もしくは動画投稿サイトのアイコン)を使用してよいですか？
※パロディ元の宣伝以外では使いません。",その他オリジナルライセンスがあれば、記入してください。（曲を担当された絵師さんや動画師さんに既に許可が取れていましたら、ここにその旨を記入してください。）,"最後に一言どうぞ！
※掲載される文章です。運営に伝えたいことは次の質問に記入してください。",もし運営への要望などのコメントがございましたら、記入してください。,名前のふりがなを記入してください。（英語なども含めて、読みを全てひらがなで入力してください）,もし「この曲を一番パロディしてほしい！」という曲があれば記入してください。(1曲のみ),一番パロディしてほしい曲のリンク,ニコ動のリンク,YouTubeのリンク,一番パロディしてほしい曲のリンク（ニコニコ復旧後）,ニコニコメンテナンス遺産
-,1,同意する,ダ王P(やっくー),yakku_iwanna,"ボカロP, 作詞家, 動画師",この曲でダダダを8429173576回発声する、かあいゆき（９さい）が耳かきでロリコンを救済するレクイエム,私は初音ミクです！ ~I am MEIKO!~(Cメロ(一部サビ))、私は音街ウナです！ ~I am Una!~(Cメロ(一部サビ))、カエルカ？、ずんだもんは女の子？男の娘？う○こ？そんな数多くの研究者が挑んだ超難題に最適解を発見。長年の議論に遂に終止符が打たれる！、受験終わった！、好きな調声発表ドラゴン、好きな好きな好きな惣菜発表ドラゴン発表ドラゴン発表ドラゴン,許可する,親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,まっはさん、まっはママさんが絵を担当されている曲の絵もパロディ可,運営代表です！みんなでパロディし合ってわいわいしましょう！！！,,だおうぴー(やっくー),私は初音ミクです！ ~I am MEIKO!~(一部パロディ不可),https://www.nicovideo.jp/watch/sm39686262,https://nicovideo.jp/user/121390230,https://www.youtube.com/@yakkudaohp,,https://www.youtube.com/watch?v=72mYLde03Ys
2024/05/10 20:42:10,1,同意する,なすなす央,ys_nasu_dtm,"ボカロP, 作詞家, 絵師, 動画師",なすなす央ボカロ曲 いつ消えても文句は言えない曲リスト https://www.nicovideo.jp/mylist/76438326 に含まれている曲（他者作品のパロディであるため）,,許可しない,記載しなくてよい,許可する,対象としない,省略できるようにする,使用してよい,,,運営にご協力できず申し訳ありませんが応援しています！,なすなすお,17歳JKボカロPがGaragebandだけで神曲作ってみた,https://www.nicovideo.jp/watch/sm39475215,https://nicovideo.jp/user/116865463,https://www.youtube.com/@ys_nasu_dtm,,https://www.nicovideo.jp/watch/sm39475215
2024/05/11 19:32:38,1,同意する,祈音 結璃,025x3104,"ボカロP, 作詞家, 絵師, 動画師, 曲に使用したUTAU音源の中の人兼管理人",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,オリ曲1つだけの身ですがぜひパロディしてほしいです！！,オリジナル曲は1曲のみです。他の投稿に埋もれて探すの大変だと思うのでリンクをお伝えさせて頂きます。https://www.nicovideo.jp/watch/sm42842944?ref=nicoiphone_other,いのねゆり,君を追いかけて,https://www.nicovideo.jp/watch/sm42842944,https://nicovideo.jp/user/31541630,https://www.youtube.com/@O25x31O4,,https://www.youtube.com/watch?v=kK0L1YVAuek
2024/05/13 17:55:26,1,同意する,レラー,＠jsjgmt1,"ボカロP, 作詞家",,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,"以下、レラーさんからのコメント「一応パロディしやすいんじゃないかなっていうのをリストでまとめたので迷ったらここから活用してください。」
https://nicovideo.jp/user/119203298/mylist/76773040",,,れらー,やったぜ,https://www.nicovideo.jp/watch/sm42881562,https://nicovideo.jp/user/119203298,https://www.youtube.com/@rera10911,,https://www.nicovideo.jp/watch/sm42881562
2024/05/14 0:15:12,1,同意する,久保田ねじ,@Kubota_neji,"ボカロP, 作詞家, 絵師, 動画師",,イ生ネ刀！ピノフノをエ里ねてのシ寅奏(ファミリーマートパート),許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,,ひとつでも僕の曲（？）のパロディをしていただいた方がいましたら、僕に教えて下さい。喜びの舞を踊ります。まともな曲（広義）がないので、パロディには不向きかもしれませんが、温かい目で見て下さい。それと、映像素材についてはどのように使っていただいても構いません。最後になりますが、皆さん頑張って下さい！,,くぼたねじ,多分、歌,https://www.nicovideo.jp/watch/sm42576442,https://nicovideo.jp/user/128647922,https://www.youtube.com/@user-kuboneji,,https://www.youtube.com/watch?v=CyT8fh5UUMA
2024/05/13 16:28:15,1,同意する,makrone,@n_shigure,"ボカロP, 作詞家, 絵師, 動画師",バナナさんチームワニさんチーム、シトリン,,許可する,動画概要欄での記載・親作品の登録が必須,許可しない,対象とする,省略できるようにする,使用してよい,makroneさんがCVのUTAU音源『真歌ころん（まなかころん）』の公式絵関係のパロディも『真歌ころん』の利用規約に従えば、その範囲で可能,イケてる曲や派手な曲はありませんが、皆さんの発想で楽しいパロディ曲に仕上げてください！よろしくお願いします！,対象はパロディOK元のオリジナル曲だと思っていますが、投稿作品全域に掛かるなら（投稿にはカバーや替え歌もあるので。パロディしたい人が混乱しない為に）対象外は改めてのご連絡で大丈夫でしょうか,まくろん,こんぺいとうの空に,https://www.nicovideo.jp/watch/sm43239122,https://nicovideo.jp/user/8397436,https://www.youtube.com/@MANAKA_COLON,,https://www.youtube.com/watch?v=0sW6T8Rr6-8
2024/05/12 21:45:39,1,同意する,羊歯食物,@shidashoku,"ボカロP, 作詞家",hPa,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにしない,使用してよい,,"何をしても怒らないです❗️
好きにやっちゃって〜❗️",,しだしょくぶつ,吐露(絵は現状パロディ不可),https://www.nicovideo.jp/watch/sm40350920,https://nicovideo.jp/user/123783538,https://www.youtube.com/@user-shidashoku,,https://www.youtube.com/watch?v=9wkkg9i5erE
2024/05/16 20:45:32,1,同意する,えてぃ,atea_88,"ボカロP, 作詞家, 絵師, 動画師",パルサーバイナリー、あだちシグナル、きみは天国旅行などのえてぃがイラストや動画を担当していないもの、かがみうつし、ねるやつ(歌詞のパロディ禁止、曲のパロディ可),かがみうつし(好きなものや、界隈曲に影響を受けているため),許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可しない,対象としない,省略できるようにする,使用してよい,,無色透名祭じゃないと出せない曲のパロディが特に聴きたいです、よろしくお願いします,,えてぃ,無色透名祭じゃないと出せない曲,https://www.nicovideo.jp/watch/so40804289,https://nicovideo.jp/user/121330499,https://www.youtube.com/@atea_88,,https://www.nicovideo.jp/watch/so40804289
2024/05/15 21:39:02,1,同意する,空き缶(失せドカンP),usedcan1,ボカロP,シアンの足跡／マゼンタに溶ける、夏の終わりに置き去り、うまくいかなくても、(TT)～Traffic Trouble～、もしもしA子さん、鈍行夜闇行き、など作詞作曲のクレジットに「空き缶」以外が含まれる楽曲（梨緒(ベタ打ちピアノP)さんとの共作除く）,⼸⼙襪⼅⼨惺潴⼥⼑⼠、へそのごま、胡椒.4o5、ケロばあああああああああああチョフ ,許可する,親作品の登録のみ必須,許可する,対象とする,省略できるようにしない,使用してよい,動画説明欄にてあなたの推しを語ってください。,ごめんなさい出来るもんならやってみてくれ！！！ぜひ！！！頼むから！！！,,あきかん(うせどかんぴー),雨上がりと夕焼け,https://www.nicovideo.jp/watch/sm43592502,https://nicovideo.jp/user/96719892,https://www.youtube.com/@usedcan,,https://www.youtube.com/watch?v=6_ZnYaADoA4
2024/05/15 21:28:05,1,同意する,丑三つ時,@1130_tiger,ボカロP,さんぽ、強風オールバック神話入remixは対象外,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,皆さん、どんどんいじっちゃってください,,うしみつどき,牧場のうた,https://www.nicovideo.jp/watch/sm41742045,https://nicovideo.jp/user/65704064,https://www.youtube.com/@u.musiclabo5720,,https://www.youtube.com/watch?v=UHe2__UrFlY
